"Industries,
 Prefectures and 21 Major cities",,,,,Number of establishments,,,,Number of persons engaged,Total cash wages and salaries,"Cost of raw materials, fuels and electricity consumed, and subcontracting expenses for consigned production",Value of manufactured goods shipments,Value of production,Value added
20,なめし革・同製品・毛皮製造業,10,群馬県,2019,***,***,***,***,***,***,***,***,***,***
20,なめし革・同製品・毛皮製造業,11,埼玉県,2019,8,7,1,***,559,X,X,X,X,X
20,なめし革・同製品・毛皮製造業,12,千葉県,2019,6,5,1,***,319,"1,165","3,169","5,290","5,089","1,877"
20,なめし革・同製品・毛皮製造業,13,東京都,2019,18,16,1,1,"1,486",X,X,X,X,X
20,なめし革・同製品・毛皮製造業,14,神奈川県,2019,1,***,1,***,102,X,X,X,X,X
20,なめし革・同製品・毛皮製造業,15,新潟県,2019,2,2,***,***,157,X,X,X,X,X
20,なめし革・同製品・毛皮製造業,16,富山県,2019,2,2,***,***,147,X,X,X,X,X
20,なめし革・同製品・毛皮製造業,17,石川県,2019,***,***,***,***,***,***,***,***,***,***
20,なめし革・同製品・毛皮製造業,18,福井県,2019,1,1,***,***,51,X,X,X,X,X
20,なめし革・同製品・毛皮製造業,19,山梨県,2019,2,2,***,***,77,X,X,X,X,X
20,なめし革・同製品・毛皮製造業,20,長野県,2019,4,3,1,***,249,X,X,X,X,X
20,なめし革・同製品・毛皮製造業,21,岐阜県,2019,***,***,***,***,***,***,***,***,***,***
20,なめし革・同製品・毛皮製造業,22,静岡県,2019,3,2,1,***,210,921,"4,414","5,908","5,679","1,345"
20,なめし革・同製品・毛皮製造業,23,愛知県,2019,8,7,***,1,624,"2,355","14,167","18,489","17,692","3,806"
20,なめし革・同製品・毛皮製造業,24,三重県,2019,***,***,***,***,***,***,***,***,***,***
20,なめし革・同製品・毛皮製造業,25,滋賀県,2019,***,***,***,***,***,***,***,***,***,***
20,なめし革・同製品・毛皮製造業,26,京都府,2019,4,3,1,***,335,X,X,X,X,X
20,なめし革・同製品・毛皮製造業,27,大阪府,2019,7,7,***,***,334,"1,212","1,641","3,816","3,810","1,975"
20,なめし革・同製品・毛皮製造業,28,兵庫県,2019,17,13,4,***,"1,324","3,892","11,686","21,517","20,937","8,501"
20,なめし革・同製品・毛皮製造業,29,奈良県,2019,2,2,***,***,122,X,X,X,X,X
20,なめし革・同製品・毛皮製造業,30,和歌山県,2019,1,1,***,***,40,X,X,X,X,X
20,なめし革・同製品・毛皮製造業,31,鳥取県,2019,***,***,***,***,***,***,***,***,***,***
20,なめし革・同製品・毛皮製造業,32,島根県,2019,1,1,***,***,39,X,X,X,X,X
20,なめし革・同製品・毛皮製造業,33,岡山県,2019,2,2,***,***,115,X,X,X,X,X
20,なめし革・同製品・毛皮製造業,34,広島県,2019,1,***,1,***,133,X,X,X,X,X
20,なめし革・同製品・毛皮製造業,35,山口県,2019,***,***,***,***,***,***,***,***,***,***
20,なめし革・同製品・毛皮製造業,36,徳島県,2019,***,***,***,***,***,***,***,***,***,***
20,なめし革・同製品・毛皮製造業,37,香川県,2019,5,5,***,***,207,608,"1,786","3,572","3,565","1,631"
20,なめし革・同製品・毛皮製造業,38,愛媛県,2019,1,1,***,***,48,X,X,X,X,X
20,なめし革・同製品・毛皮製造業,39,高知県,2019,1,1,***,***,89,X,X,X,X,X
20,なめし革・同製品・毛皮製造業,40,福岡県,2019,1,1,***,***,94,X,X,X,X,X
20,なめし革・同製品・毛皮製造業,41,佐賀県,2019,3,2,1,***,356,"1,059","7,942","9,497","9,444","1,345"
20,なめし革・同製品・毛皮製造業,42,長崎県,2019,***,***,***,***,***,***,***,***,***,***
20,なめし革・同製品・毛皮製造業,43,熊本県,2019,1,1,***,***,41,X,X,X,X,X
20,なめし革・同製品・毛皮製造業,44,大分県,2019,1,1,***,***,55,X,X,X,X,X
20,なめし革・同製品・毛皮製造業,45,宮崎県,2019,***,***,***,***,***,***,***,***,***,***
20,なめし革・同製品・毛皮製造業,46,鹿児島県,2019,***,***,***,***,***,***,***,***,***,***
20,なめし革・同製品・毛皮製造業,47,沖縄県,2019,***,***,***,***,***,***,***,***,***,***
20,なめし革・同製品・毛皮製造業,61,札幌市,2019,***,***,***,***,***,***,***,***,***,***
20,なめし革・同製品・毛皮製造業,62,仙台市,2019,***,***,***,***,***,***,***,***,***,***
20,なめし革・同製品・毛皮製造業,63,さいたま市,2019,***,***,***,***,***,***,***,***,***,***
20,なめし革・同製品・毛皮製造業,64,千葉市,2019,***,***,***,***,***,***,***,***,***,***
20,なめし革・同製品・毛皮製造業,65,東京特別区,2019,18,16,1,1,"1,486",X,X,X,X,X
20,なめし革・同製品・毛皮製造業,66,横浜市,2019,***,***,***,***,***,***,***,***,***,***
20,なめし革・同製品・毛皮製造業,67,川崎市,2019,***,***,***,***,***,***,***,***,***,***
20,なめし革・同製品・毛皮製造業,68,相模原市,2019,***,***,***,***,***,***,***,***,***,***
20,なめし革・同製品・毛皮製造業,69,新潟市,2019,***,***,***,***,***,***,***,***,***,***
20,なめし革・同製品・毛皮製造業,70,静岡市,2019,1,1,***,***,39,X,X,X,X,X
20,なめし革・同製品・毛皮製造業,71,浜松市,2019,1,1,***,***,53,X,X,X,X,X
20,なめし革・同製品・毛皮製造業,72,名古屋市,2019,3,3,***,***,120,318,606,"1,148","1,141",484
20,なめし革・同製品・毛皮製造業,73,京都市,2019,3,2,1,***,251,934,"1,312","3,993","3,977","2,459"
20,なめし革・同製品・毛皮製造業,74,大阪市,2019,1,1,***,***,49,X,X,X,X,X
20,なめし革・同製品・毛皮製造業,75,堺市,2019,1,1,***,***,58,X,X,X,X,X
20,なめし革・同製品・毛皮製造業,76,神戸市,2019,1,***,1,***,209,X,X,X,X,X
20,なめし革・同製品・毛皮製造業,77,岡山市,2019,***,***,***,***,***,***,***,***,***,***
20,なめし革・同製品・毛皮製造業,78,広島市,2019,***,***,***,***,***,***,***,***,***,***
20,なめし革・同製品・毛皮製造業,79,北九州市,2019,***,***,***,***,***,***,***,***,***,***
20,なめし革・同製品・毛皮製造業,80,福岡市,2019,***,***,***,***,***,***,***,***,***,***
20,なめし革・同製品・毛皮製造業,81,熊本市,2019,***,***,***,***,***,***,***,***,***,***
21,窯業・土石製品製造業,00,全国計,2015,"1,497","1,182",253,62,"137,626","687,944","2,488,430","4,790,791","4,312,725","1,928,220"
21,窯業・土石製品製造業,00,全国計,2016,"1,436","1,110",263,63,"134,525","667,911","2,369,974","4,650,043","4,078,581","1,918,317"
21,窯業・土石製品製造業,00,全国計,2017,"1,471","1,141",266,64,"139,898","701,426","2,574,742","4,990,850","4,369,244","2,107,026"
21,窯業・土石製品製造業,00,全国計,2018,"1,465","1,133",265,67,"140,712","721,971","2,751,734","5,212,452","4,598,693","2,176,199"
21,窯業・土石製品製造業,00,全国計,2019,"1,453","1,122",266,65,"139,595","723,755","2,651,595","5,030,985","4,475,631","2,063,770"
21,窯業・土石製品製造業,01,北海道,2019,36,32,4,***,"2,056","8,662","52,538","84,787","64,832","25,061"
21,窯業・土石製品製造業,02,青森県,2019,10,10,***,***,531,"2,172","11,152","19,537","14,076","6,097"
21,窯業・土石製品製造業,03,岩手県,2019,17,15,2,***,"1,109","4,804","23,766","46,729","39,381","19,320"
21,窯業・土石製品製造業,04,宮城県,2019,28,20,7,1,"2,407","12,335","34,205","70,160","59,761","31,659"
21,窯業・土石製品製造業,05,秋田県,2019,12,11,1,***,566,"2,584","10,213","15,574","15,676","4,509"
21,窯業・土石製品製造業,06,山形県,2019,22,16,4,2,"2,844","12,842","30,436","86,936","78,637","42,489"
21,窯業・土石製品製造業,07,福島県,2019,52,40,9,3,"4,747","23,303","65,998","133,372","129,548","60,311"
21,窯業・土石製品製造業,08,茨城県,2019,75,55,19,1,"5,978","30,106","126,849","240,790","234,426","98,652"
21,窯業・土石製品製造業,09,栃木県,2019,43,36,6,1,"2,959","14,845","49,653","98,002","92,154","39,740"
21,窯業・土石製品製造業,10,群馬県,2019,24,22,2,***,"1,500","6,667","28,304","49,376","48,571","17,786"
21,窯業・土石製品製造業,11,埼玉県,2019,54,41,12,1,"3,779","19,075","88,103","159,875","134,901","63,035"
21,窯業・土石製品製造業,12,千葉県,2019,47,32,12,3,"5,249","28,396","105,007","204,367","187,326","88,494"
21,窯業・土石製品製造業,13,東京都,2019,18,13,5,***,"1,511","9,077","28,963","52,785","44,444","20,518"
21,窯業・土石製品製造業,14,神奈川県,2019,47,34,8,5,"5,718","35,445","104,307","201,587","183,192","74,818"
21,窯業・土石製品製造業,15,新潟県,2019,28,23,4,1,"2,027","8,587","31,123","49,663","46,825","14,536"
21,窯業・土石製品製造業,16,富山県,2019,25,19,6,***,"1,882","8,081","28,951","64,748","57,012","28,527"
21,窯業・土石製品製造業,17,石川県,2019,12,7,4,1,"1,323","6,192","12,857","36,271","31,819","21,280"
21,窯業・土石製品製造業,18,福井県,2019,12,10,1,1,"1,106","6,180","15,550","23,670","23,941","6,624"
21,窯業・土石製品製造業,19,山梨県,2019,5,4,1,***,550,"3,325","17,985","51,592","50,281","33,161"
21,窯業・土石製品製造業,20,長野県,2019,19,12,6,1,"2,039","11,371","48,245","98,214","97,903","50,258"
21,窯業・土石製品製造業,21,岐阜県,2019,127,104,18,5,"10,787","49,450","147,722","274,400","240,621","111,609"
21,窯業・土石製品製造業,22,静岡県,2019,27,22,3,2,"2,459","13,412","41,387","87,583","83,705","38,305"
21,窯業・土石製品製造業,23,愛知県,2019,143,106,27,10,"19,712","108,289","405,271","683,857","545,299","254,897"
21,窯業・土石製品製造業,24,三重県,2019,46,31,14,1,"4,279","24,669","96,541","199,834","190,234","88,801"
21,窯業・土石製品製造業,25,滋賀県,2019,44,31,8,5,"7,011","48,928","180,227","311,833","273,318","120,188"
21,窯業・土石製品製造業,26,京都府,2019,20,14,3,3,"2,842","15,820","48,428","166,189","172,056","114,879"
21,窯業・土石製品製造業,27,大阪府,2019,49,40,7,2,"3,899","19,993","56,772","131,009","122,192","60,994"
21,窯業・土石製品製造業,28,兵庫県,2019,64,48,14,2,"5,105","26,864","112,055","210,258","184,310","76,998"
21,窯業・土石製品製造業,29,奈良県,2019,11,11,***,***,564,"2,384","7,612","12,886","9,348","4,646"
21,窯業・土石製品製造業,30,和歌山県,2019,5,4,1,***,302,"1,500","6,646","10,799","10,634","3,571"
21,窯業・土石製品製造業,31,鳥取県,2019,2,2,***,***,78,X,X,X,X,X
21,窯業・土石製品製造業,32,島根県,2019,7,6,1,***,461,"1,552","4,714","8,116","8,191","3,006"
21,窯業・土石製品製造業,33,岡山県,2019,37,24,13,***,"3,166","16,148","103,551","166,830","135,861","54,240"
21,窯業・土石製品製造業,34,広島県,2019,25,20,3,2,"2,828","14,445","45,832","87,171","79,116","36,600"
21,窯業・土石製品製造業,35,山口県,2019,29,19,9,1,"2,883","15,571","108,320","196,734","182,838","77,970"
21,窯業・土石製品製造業,36,徳島県,2019,5,5,***,***,279,X,X,X,X,X
21,窯業・土石製品製造業,37,香川県,2019,12,7,3,2,"1,720","9,047","21,855","40,809","40,804","16,239"
21,窯業・土石製品製造業,38,愛媛県,2019,14,14,***,***,627,"2,391","8,670","15,625","14,221","6,030"
21,窯業・土石製品製造業,39,高知県,2019,7,5,2,***,448,"2,203","22,809","42,627","28,168","14,260"
21,窯業・土石製品製造業,40,福岡県,2019,62,43,14,5,"7,144","36,961","170,176","274,782","220,020","82,999"
21,窯業・土石製品製造業,41,佐賀県,2019,22,20,2,***,"1,439","5,238","5,808","18,704","18,452","11,405"
21,窯業・土石製品製造業,42,長崎県,2019,13,12,***,1,912,"4,029","6,451","15,435","14,547","7,889"
21,窯業・土石製品製造業,43,熊本県,2019,24,22,2,***,"1,318","5,903","19,934","39,164","35,289","17,205"
21,窯業・土石製品製造業,44,大分県,2019,20,13,5,2,"2,315","11,885","37,960","79,468","71,588","36,629"
21,窯業・土石製品製造業,45,宮崎県,2019,11,9,2,***,821,"2,573","3,426","10,900","6,986","6,551"
21,窯業・土石製品製造業,46,鹿児島県,2019,19,17,1,1,"5,313","25,336","59,843","128,258","126,171","58,302"
21,窯業・土石製品製造業,47,沖縄県,2019,22,21,1,***,"1,002","4,005","13,057","25,700","22,744","10,782"
21,窯業・土石製品製造業,61,札幌市,2019,1,1,***,***,30,X,X,X,X,X
21,窯業・土石製品製造業,62,仙台市,2019,3,1,1,1,782,"4,657","7,647","18,300","16,566","9,006"
21,窯業・土石製品製造業,63,さいたま市,2019,1,1,***,***,42,X,X,X,X,X
21,窯業・土石製品製造業,64,千葉市,2019,3,3,***,***,173,764,"5,854","11,610","10,437","5,105"
21,窯業・土石製品製造業,65,東京特別区,2019,13,9,4,***,"1,012","5,059","15,887","29,403","25,723","11,179"
21,窯業・土石製品製造業,66,横浜市,2019,13,10,2,1,"1,735","12,062","23,385","36,417","31,970","9,124"
21,窯業・土石製品製造業,67,川崎市,2019,3,2,1,***,279,"2,089","5,781","10,862","10,913","3,358"
21,窯業・土石製品製造業,68,相模原市,2019,7,4,1,2,"1,200","7,256","26,598","42,799","37,448","7,897"
21,窯業・土石製品製造業,69,新潟市,2019,4,4,***,***,175,631,"2,738","4,796","4,666","1,786"
21,窯業・土石製品製造業,70,静岡市,2019,2,1,1,***,226,X,X,X,X,X
21,窯業・土石製品製造業,71,浜松市,2019,6,6,***,***,362,"1,445","2,425","5,251","5,225","2,406"
21,窯業・土石製品製造業,72,名古屋市,2019,14,8,4,2,"4,984","32,276","79,910","139,012","100,400","59,518"
21,窯業・土石製品製造業,73,京都市,2019,3,2,***,1,423,"3,078","2,857","22,723","22,521","17,888"
21,窯業・土石製品製造業,74,大阪市,2019,10,10,***,***,511,"2,242","7,275","13,052","9,358","5,115"
21,窯業・土石製品製造業,75,堺市,2019,9,5,3,1,"1,139","7,403","20,793","57,685","56,865","28,056"
21,窯業・土石製品製造業,76,神戸市,2019,4,4,***,***,248,920,"1,248","3,938","3,959","2,458"
21,窯業・土石製品製造業,77,岡山市,2019,1,***,1,***,232,X,X,X,X,X
21,窯業・土石製品製造業,78,広島市,2019,3,2,***,1,463,"2,317","8,797","10,285","10,346","1,305"
21,窯業・土石製品製造業,79,北九州市,2019,18,11,5,2,"2,929","15,879","59,905","99,874","82,224","34,338"
21,窯業・土石製品製造業,80,福岡市,2019,2,2,***,***,97,X,X,X,X,X
21,窯業・土石製品製造業,81,熊本市,2019,4,4,***,***,166,771,"2,746","4,328","3,080","1,233"
22,鉄鋼業,00,全国計,2015,"1,211",839,272,100,"170,321","1,005,433","12,594,098","16,248,725","15,376,267","2,799,937"
22,鉄鋼業,00,全国計,2016,"1,189",808,279,102,"177,547","1,032,354","10,728,349","14,198,887","13,472,475","2,623,173"
22,鉄鋼業,00,全国計,2017,"1,229",843,279,107,"182,842","1,043,911","12,382,519","15,905,439","15,407,685","3,034,459"
22,鉄鋼業,00,全国計,2018,"1,246",855,288,103,"185,831","1,079,388","13,387,874","16,836,489","16,381,564","2,910,667"
22,鉄鋼業,00,全国計,2019,"1,256",864,293,99,"186,590","1,089,078","12,851,725","16,094,460","15,415,553","2,565,885"
22,鉄鋼業,01,北海道,2019,32,21,6,5,"5,443","29,906","303,972","373,516","381,562","86,004"
22,鉄鋼業,02,青森県,2019,10,5,3,2,"1,525","7,202","68,367","87,632","81,527","18,753"
22,鉄鋼業,03,岩手県,2019,17,15,1,1,"1,745","9,344","58,800","82,645","67,938","18,458"
22,鉄鋼業,04,宮城県,2019,13,9,1,3,"1,896","10,123","125,544","163,043","159,410","27,976"
22,鉄鋼業,05,秋田県,2019,7,3,4,***,700,"2,599","8,388","15,155","15,045","5,843"
22,鉄鋼業,06,山形県,2019,11,9,2,***,802,"3,727","14,014","22,552","21,560","7,009"
22,鉄鋼業,07,福島県,2019,20,13,6,1,"2,472","12,547","53,370","82,192","75,223","23,895"
22,鉄鋼業,08,茨城県,2019,41,20,17,4,"8,361","51,613","653,770","789,277","775,348","81,218"
22,鉄鋼業,09,栃木県,2019,31,20,10,1,"3,281","17,314","152,746","220,102","212,833","55,483"
22,鉄鋼業,10,群馬県,2019,32,24,5,3,"3,461","19,583","180,366","231,870","218,179","42,292"
22,鉄鋼業,11,埼玉県,2019,50,39,11,***,"3,901","21,467","199,517","290,671","254,373","75,066"
22,鉄鋼業,12,千葉県,2019,87,63,18,6,"15,664","100,945","1,242,281","1,513,780","1,472,577","202,884"
22,鉄鋼業,13,東京都,2019,15,9,5,1,"1,724","10,515","91,966","122,453","121,421","25,560"
22,鉄鋼業,14,神奈川県,2019,39,26,9,4,"6,860","46,607","507,570","588,930","564,328","53,788"
22,鉄鋼業,15,新潟県,2019,49,37,10,2,"4,478","21,136","118,593","177,029","167,080","47,112"
22,鉄鋼業,16,富山県,2019,24,14,8,2,"3,834","20,348","107,591","168,306","154,431","48,095"
22,鉄鋼業,17,石川県,2019,15,13,2,***,"1,060","4,920","23,743","38,425","36,222","12,419"
22,鉄鋼業,18,福井県,2019,2,2,***,***,145,X,X,X,X,X
22,鉄鋼業,19,山梨県,2019,5,5,***,***,234,"1,002","3,311","5,408","5,426","1,750"
22,鉄鋼業,20,長野県,2019,6,4,1,1,889,"4,402","13,538","25,891","24,470","8,359"
22,鉄鋼業,21,岐阜県,2019,32,19,12,1,"3,698","20,359","153,716","210,553","206,534","44,131"
22,鉄鋼業,22,静岡県,2019,37,33,4,***,"2,334","12,128","123,555","153,760","132,299","27,437"
22,鉄鋼業,23,愛知県,2019,133,82,37,14,"24,762","152,306","1,688,464","2,159,387","2,113,250","364,083"
22,鉄鋼業,24,三重県,2019,21,19,1,1,"1,586","8,211","70,892","89,027","56,484","15,299"
22,鉄鋼業,25,滋賀県,2019,12,7,4,1,"1,417","8,334","66,662","90,835","89,525","20,127"
22,鉄鋼業,26,京都府,2019,12,8,4,***,"1,015","5,081","40,733","53,627","48,910","10,293"
22,鉄鋼業,27,大阪府,2019,143,110,26,7,"13,653","79,685","920,962","1,199,186","1,154,526","231,168"
22,鉄鋼業,28,兵庫県,2019,85,56,18,11,"17,978","109,541","1,516,295","1,849,138","1,662,156","267,533"
22,鉄鋼業,29,奈良県,2019,9,9,***,***,422,"1,839","22,345","29,331","28,277","6,091"
22,鉄鋼業,30,和歌山県,2019,11,6,3,2,"4,059","26,613","391,516","507,224","500,932","103,486"
22,鉄鋼業,31,鳥取県,2019,5,3,1,1,691,X,X,X,X,X
22,鉄鋼業,32,島根県,2019,17,9,5,3,"4,323","23,236","73,454","163,648","156,850","71,955"
22,鉄鋼業,33,岡山県,2019,35,22,9,4,"8,230","48,292","836,236","928,581","917,163","50,624"
22,鉄鋼業,34,広島県,2019,37,23,11,3,"9,220","54,865","1,099,157","1,145,791","1,116,493","37,893"
22,鉄鋼業,35,山口県,2019,28,14,8,6,"6,367","36,986","501,724","606,455","596,679","76,909"
22,鉄鋼業,36,徳島県,2019,4,2,2,***,471,"2,310","33,666","38,051","37,949","4,700"
22,鉄鋼業,37,香川県,2019,7,7,***,***,396,"2,096","33,107","42,098","41,913","7,660"
22,鉄鋼業,38,愛媛県,2019,9,6,3,***,770,"3,363","96,576","108,958","109,294","9,863"
22,鉄鋼業,39,高知県,2019,8,6,1,1,776,"3,742","26,109","37,604","26,160","9,956"
22,鉄鋼業,40,福岡県,2019,57,37,15,5,"9,449","56,393","637,558","906,716","867,062","207,964"
22,鉄鋼業,41,佐賀県,2019,6,3,2,1,"1,069","6,441","22,562","36,387","36,189","10,798"
22,鉄鋼業,42,長崎県,2019,10,8,2,***,656,"3,128","16,351","24,573","15,175","6,789"
22,鉄鋼業,43,熊本県,2019,13,11,1,1,"1,133","4,716","37,076","54,154","52,719","13,084"
22,鉄鋼業,44,大分県,2019,8,7,***,1,"2,549","16,155","460,325","581,579","561,832","106,146"
22,鉄鋼業,45,宮崎県,2019,3,1,2,***,368,"1,896","10,530","17,119","16,924","5,128"
22,鉄鋼業,46,鹿児島県,2019,2,2,***,***,79,X,X,X,X,X
22,鉄鋼業,47,沖縄県,2019,6,3,3,***,644,X,X,X,X,X
22,鉄鋼業,61,札幌市,2019,6,5,1,***,381,"1,859","10,088","15,824","15,292","4,599"
22,鉄鋼業,62,仙台市,2019,2,1,***,1,578,X,X,X,X,X
22,鉄鋼業,63,さいたま市,2019,5,4,1,***,388,"1,650","6,841","11,249","10,405","3,595"
22,鉄鋼業,64,千葉市,2019,9,5,3,1,"3,564","26,498","370,393","418,565","387,920","29,069"
22,鉄鋼業,65,東京特別区,2019,12,7,4,1,"1,350","8,575","73,936","99,243","98,175","20,842"
22,鉄鋼業,66,横浜市,2019,9,9,***,***,489,"2,567","44,791","53,636","49,072","7,885"
22,鉄鋼業,67,川崎市,2019,10,3,3,4,"4,617","33,938","386,857","432,541","417,323","22,869"
22,鉄鋼業,68,相模原市,2019,2,1,1,***,256,X,X,X,X,X
22,鉄鋼業,69,新潟市,2019,9,7,1,1,788,"3,310","8,692","14,736","13,853","5,128"
22,鉄鋼業,70,静岡市,2019,4,3,1,***,258,"1,576","11,147","13,769","13,581","1,949"
22,鉄鋼業,71,浜松市,2019,6,5,1,***,382,"1,907","23,128","28,684","28,595","4,662"
22,鉄鋼業,72,名古屋市,2019,21,11,8,2,"2,764","16,627","195,544","283,668","280,167","71,824"
22,鉄鋼業,73,京都市,2019,1,1,***,***,41,X,X,X,X,X
22,鉄鋼業,74,大阪市,2019,37,28,7,2,"3,762","23,455","276,155","366,038","343,802","77,754"
22,鉄鋼業,75,堺市,2019,32,22,8,2,"3,609","21,042","350,696","428,489","421,219","58,279"
22,鉄鋼業,76,神戸市,2019,12,10,1,1,"1,484","7,574","166,380","180,368","179,164","12,494"
22,鉄鋼業,77,岡山市,2019,5,1,3,1,796,"3,456","12,594","20,826","20,738","6,374"
22,鉄鋼業,78,広島市,2019,4,3,1,***,352,"1,818","6,153","9,434","9,172","2,662"
22,鉄鋼業,79,北九州市,2019,30,13,12,5,"7,820","48,398","555,788","798,436","773,707","185,105"
22,鉄鋼業,80,福岡市,2019,2,2,***,***,89,X,X,X,X,X
22,鉄鋼業,81,熊本市,2019,3,2,***,1,439,X,X,X,X,X
23,非鉄金属製造業,00,全国計,2015,775,463,225,87,"110,110","605,973","6,618,593","8,809,788","8,353,377","1,763,170"
23,非鉄金属製造業,00,全国計,2016,796,476,233,87,"115,620","621,282","5,826,678","8,121,212","7,748,397","1,929,423"
23,非鉄金属製造業,00,全国計,2017,801,484,228,89,"118,874","648,158","6,580,160","8,977,776","8,755,086","2,207,527"
23,非鉄金属製造業,00,全国計,2018,815,496,234,85,"118,211","663,893","7,216,467","9,492,945","9,149,459","1,959,329"
23,非鉄金属製造業,00,全国計,2019,817,502,226,89,"118,597","659,219","6,723,132","8,990,038","8,606,557","1,921,192"
23,非鉄金属製造業,01,北海道,2019,3,3,***,***,137,600,"3,096","4,690","3,527","1,213"
23,非鉄金属製造業,02,青森県,2019,10,4,4,2,"4,062","27,569","88,928","273,979","250,510","148,175"
23,非鉄金属製造業,03,岩手県,2019,11,9,2,***,772,"2,863","15,325","26,132","20,886","9,425"
23,非鉄金属製造業,04,宮城県,2019,17,11,6,***,"1,648","7,865","52,255","80,638","73,527","23,906"
23,非鉄金属製造業,05,秋田県,2019,13,9,2,2,"1,554","7,383","35,461","63,695","62,274","21,805"
23,非鉄金属製造業,06,山形県,2019,8,4,2,2,"1,237","6,731","25,855","47,140","46,728","19,648"
23,非鉄金属製造業,07,福島県,2019,26,12,11,3,"3,484","17,899","127,767","181,638","175,953","42,542"
23,非鉄金属製造業,08,茨城県,2019,42,25,9,8,"7,696","48,838","510,782","627,969","619,589","100,023"
23,非鉄金属製造業,09,栃木県,2019,31,17,7,7,"6,578","39,360","314,906","388,015","379,064","57,230"
23,非鉄金属製造業,10,群馬県,2019,25,17,8,***,"2,699","11,760","78,609","115,197","106,860","28,132"
23,非鉄金属製造業,11,埼玉県,2019,70,52,12,6,"7,493","37,923","408,118","522,075","511,583","96,363"
23,非鉄金属製造業,12,千葉県,2019,25,16,7,2,"4,640","29,032","232,199","322,543","293,463","80,975"
23,非鉄金属製造業,13,東京都,2019,16,12,3,1,"1,348","6,503","83,976","98,544","99,650","15,632"
23,非鉄金属製造業,14,神奈川県,2019,35,20,10,5,"4,872","25,088","226,123","329,163","323,954","92,161"
23,非鉄金属製造業,15,新潟県,2019,17,12,4,1,"1,939","9,097","38,939","64,703","64,632","21,236"
23,非鉄金属製造業,16,富山県,2019,26,15,6,5,"5,838","31,844","284,261","366,637","330,118","63,694"
23,非鉄金属製造業,17,石川県,2019,4,1,2,1,784,"4,099","16,445","30,868","30,861","12,655"
23,非鉄金属製造業,18,福井県,2019,8,6,1,1,"1,261","8,376","112,559","133,995","131,729","13,313"
23,非鉄金属製造業,19,山梨県,2019,10,6,4,***,"1,316","6,241","24,678","40,414","41,071","14,465"
23,非鉄金属製造業,20,長野県,2019,26,20,5,1,"2,592","11,621","59,018","85,941","84,151","22,020"
23,非鉄金属製造業,21,岐阜県,2019,23,12,10,1,"3,089","13,283","52,488","86,584","85,405","27,051"
23,非鉄金属製造業,22,静岡県,2019,35,20,8,7,"6,050","34,421","350,868","468,860","457,314","94,804"
23,非鉄金属製造業,23,愛知県,2019,53,36,12,5,"7,431","40,534","375,818","486,768","454,646","87,051"
23,非鉄金属製造業,24,三重県,2019,22,10,9,3,"3,774","21,240","308,331","406,675","401,779","85,677"
23,非鉄金属製造業,25,滋賀県,2019,22,14,7,1,"2,197","10,659","108,560","143,533","137,711","29,986"
23,非鉄金属製造業,26,京都府,2019,13,7,5,1,"1,509","8,262","61,484","79,273","74,426","14,674"
23,非鉄金属製造業,27,大阪府,2019,57,35,16,6,"7,950","51,009","589,921","706,695","601,769","100,203"
23,非鉄金属製造業,28,兵庫県,2019,46,30,13,3,"5,566","31,913","119,460","246,179","236,285","109,708"
23,非鉄金属製造業,29,奈良県,2019,5,4,1,***,467,"2,558","5,310","15,642","14,323","8,773"
23,非鉄金属製造業,30,和歌山県,2019,8,7,1,***,504,"2,472","15,066","21,570","21,211","5,600"
23,非鉄金属製造業,31,鳥取県,2019,1,1,***,***,72,X,X,X,X,X
23,非鉄金属製造業,32,島根県,2019,2,1,1,***,362,X,X,X,X,X
23,非鉄金属製造業,33,岡山県,2019,15,9,6,***,"1,570","8,409","41,084","77,342","70,203","23,188"
23,非鉄金属製造業,34,広島県,2019,19,6,7,6,"4,767","29,909","177,519","276,588","278,951","80,689"
23,非鉄金属製造業,35,山口県,2019,7,3,2,2,"1,727","10,808","90,462","116,628","115,964","19,559"
23,非鉄金属製造業,36,徳島県,2019,1,1,***,***,42,X,X,X,X,X
23,非鉄金属製造業,37,香川県,2019,5,2,2,1,941,"4,809","354,261","420,109","426,958","64,426"
23,非鉄金属製造業,38,愛媛県,2019,10,5,3,2,"1,535","9,074","638,073","733,689","682,065","92,317"
23,非鉄金属製造業,39,高知県,2019,2,1,1,***,181,X,X,X,X,X
23,非鉄金属製造業,40,福岡県,2019,28,20,8,***,"2,613","12,576","77,948","125,420","118,475","35,724"
23,非鉄金属製造業,41,佐賀県,2019,5,1,2,2,"1,467","9,403","86,675","118,850","121,137","31,541"
23,非鉄金属製造業,42,長崎県,2019,***,***,***,***,***,***,***,***,***,***
23,非鉄金属製造業,43,熊本県,2019,5,3,1,1,"1,084","4,679","21,059","34,806","34,827","11,756"
23,非鉄金属製造業,44,大分県,2019,5,1,3,1,"1,156","6,414","456,372","548,898","551,006","96,480"
23,非鉄金属製造業,45,宮崎県,2019,2,1,1,***,168,X,X,X,X,X
23,非鉄金属製造業,46,鹿児島県,2019,3,1,2,***,425,X,X,X,X,X
23,非鉄金属製造業,47,沖縄県,2019,***,***,***,***,***,***,***,***,***,***
23,非鉄金属製造業,61,札幌市,2019,***,***,***,***,***,***,***,***,***,***
